"Subject" "Activity" "Signals" "Mean"
"1" "walking" "tBodyAcc-std()-X" -0.545795331328326
"1" "walking" "tBodyAcc-std()-Y" -0.367716218227378
"1" "walking" "tBodyAcc-std()-Z" -0.502645746562824
"1" "walking" "tGravityAcc-std()-X" -0.959859435936599
"1" "walking" "tGravityAcc-std()-Y" -0.951150627458213
"1" "walking" "tGravityAcc-std()-Z" -0.925817590867435
"1" "walking" "tBodyAccJerk-std()-X" -0.524721922818732
"1" "walking" "tBodyAccJerk-std()-Y" -0.470412403511239
"1" "walking" "tBodyAccJerk-std()-Z" -0.717322274881844
"1" "walking" "tBodyGyro-std()-X" -0.686555715201729
"1" "walking" "tBodyGyro-std()-Y" -0.450979810499568
"1" "walking" "tBodyGyro-std()-Z" -0.597496136795101
"1" "walking" "tBodyGyroJerk-std()-X" -0.637812687210375
"1" "walking" "tBodyGyroJerk-std()-Y" -0.634472244550432
"1" "walking" "tBodyGyroJerk-std()-Z" -0.664591977786455
"1" "walking" "tBodyAccMag-std()" -0.497096402038329
"1" "walking" "tGravityAccMag-std()" -0.497096402038329
"1" "walking" "tBodyAccJerkMag-std()" -0.515922167555159
"1" "walking" "tBodyGyroMag-std()" -0.499839593745821
"1" "walking" "tBodyGyroJerkMag-std()" -0.652050770910663
"1" "walking" "fBodyAcc-std()-X" -0.553060616663401
"1" "walking" "fBodyAcc-std()-Y" -0.390150939647061
"1" "walking" "fBodyAcc-std()-Z" -0.498583091676081
"1" "walking" "fBodyAccJerk-std()-X" -0.543979776127867
"1" "walking" "fBodyAccJerk-std()-Y" -0.466251676533372
"1" "walking" "fBodyAccJerk-std()-Z" -0.737861932680115
"1" "walking" "fBodyGyro-std()-X" -0.708263420861671
"1" "walking" "fBodyGyro-std()-Y" -0.429825832648703
"1" "walking" "fBodyGyro-std()-Z" -0.650476162132565
"1" "walking" "fBodyAccMag-std()" -0.589710231217867
"1" "walking" "fBodyBodyAccJerkMag-std()" -0.541823079570029
"1" "walking" "fBodyBodyGyroMag-std()" -0.566576670397695
"1" "walking" "fBodyBodyGyroJerkMag-std()" -0.685811262634006
"1" "walking" "tBodyAcc-mean()-X" 0.265696920582133
"1" "walking" "tBodyAcc-mean()-Y" -0.0182981725176081
"1" "walking" "tBodyAcc-mean()-Z" -0.10784573454611
"1" "walking" "tGravityAcc-mean()-X" 0.744867411573487
"1" "walking" "tGravityAcc-mean()-Y" -0.0825562579855908
"1" "walking" "tGravityAcc-mean()-Z" 0.072339870389049
"1" "walking" "tBodyAccJerk-mean()-X" 0.0770930495126801
"1" "walking" "tBodyAccJerk-mean()-Y" 0.0165908438802305
"1" "walking" "tBodyAccJerk-mean()-Z" -0.00910758730117003
"1" "walking" "tBodyGyro-mean()-X" -0.0208764064320173
"1" "walking" "tBodyGyro-mean()-Y" -0.0880722729400576
"1" "walking" "tBodyGyro-mean()-Z" 0.0862641666597983
"1" "walking" "tBodyGyroJerk-mean()-X" -0.0971120197265994
"1" "walking" "tBodyGyroJerk-mean()-Y" -0.0417164808293948
"1" "walking" "tBodyGyroJerk-mean()-Z" -0.0471393985477522
"1" "walking" "tBodyAccMag-mean()" -0.453632943768818
"1" "walking" "tGravityAccMag-mean()" -0.453632943768818
"1" "walking" "tBodyAccJerkMag-mean()" -0.545431612066571
"1" "walking" "tBodyGyroMag-mean()" -0.475404785802305
"1" "walking" "tBodyGyroJerkMag-mean()" -0.639517432642651
"1" "walking" "fBodyAcc-mean()-X" -0.531895161258213
"1" "walking" "fBodyAcc-mean()-Y" -0.406435448904438
"1" "walking" "fBodyAcc-mean()-Z" -0.596411165253602
"1" "walking" "fBodyAcc-meanFreq()-X" -0.180558714010749
"1" "walking" "fBodyAcc-meanFreq()-Y" 0.0576291646962536
"1" "walking" "fBodyAcc-meanFreq()-Z" 0.0583692776609798
"1" "walking" "fBodyAccJerk-mean()-X" -0.547348892435764
"1" "walking" "fBodyAccJerk-mean()-Y" -0.507343617969859
"1" "walking" "fBodyAccJerk-mean()-Z" -0.695305113832853
"1" "walking" "fBodyAccJerk-meanFreq()-X" -0.0488005965884726
"1" "walking" "fBodyAccJerk-meanFreq()-Y" -0.21527915818415
"1" "walking" "fBodyAccJerk-meanFreq()-Z" -0.0964496376997118
"1" "walking" "fBodyGyro-mean()-X" -0.623219182311527
"1" "walking" "fBodyGyro-mean()-Y" -0.505309434070029
"1" "walking" "fBodyGyro-mean()-Z" -0.553529065425648
"1" "walking" "fBodyGyro-meanFreq()-X" -0.0320324102759078
"1" "walking" "fBodyGyro-meanFreq()-Y" -0.0901517235974063
"1" "walking" "fBodyGyro-meanFreq()-Z" -0.0180063943472334
"1" "walking" "fBodyAccMag-mean()" -0.478448523354179
"1" "walking" "fBodyAccMag-meanFreq()" 0.142062162506138
"1" "walking" "fBodyBodyAccJerkMag-mean()" -0.499075765624092
"1" "walking" "fBodyBodyAccJerkMag-meanFreq()" 0.200055179527839
"1" "walking" "fBodyBodyGyroMag-mean()" -0.535002770337752
"1" "walking" "fBodyBodyGyroMag-meanFreq()" 0.0649309438160231
"1" "walking" "fBodyBodyGyroJerkMag-mean()" -0.645970655298847
"1" "walking" "fBodyBodyGyroJerkMag-meanFreq()" 0.198031580056455
"2" "walking" "tBodyAcc-std()-X" -0.605586497159271
"2" "walking" "tBodyAcc-std()-Y" -0.428962986589404
"2" "walking" "tBodyAcc-std()-Z" -0.589360062210596
"2" "walking" "tGravityAcc-std()-X" -0.963015508245033
"2" "walking" "tGravityAcc-std()-Y" -0.960033560165563
"2" "walking" "tGravityAcc-std()-Z" -0.945365383907285
"2" "walking" "tBodyAccJerk-std()-X" -0.557809603123841
"2" "walking" "tBodyAccJerk-std()-Y" -0.491875889831788
"2" "walking" "tBodyAccJerk-std()-Z" -0.741885388311258
"2" "walking" "tBodyGyro-std()-X" -0.710648927815894
"2" "walking" "tBodyGyro-std()-Y" -0.722943674337748
"2" "walking" "tBodyGyro-std()-Z" -0.634888927843046
"2" "walking" "tBodyGyroJerk-std()-X" -0.671679103311258
"2" "walking" "tBodyGyroJerk-std()-Y" -0.783595466728477
"2" "walking" "tBodyGyroJerk-std()-Z" -0.674611933293046
"2" "walking" "tBodyAccMag-std()" -0.552812545643709
"2" "walking" "tGravityAccMag-std()" -0.552812545643709
"2" "walking" "tBodyAccJerkMag-std()" -0.512115278415232
"2" "walking" "tBodyGyroMag-std()" -0.680584887880795
"2" "walking" "tBodyGyroJerkMag-std()" -0.740088733655629
"2" "walking" "fBodyAcc-std()-X" -0.619788102803311
"2" "walking" "fBodyAcc-std()-Y" -0.464723862913245
"2" "walking" "fBodyAcc-std()-Z" -0.600678614835099
"2" "walking" "fBodyAccJerk-std()-X" -0.595105612895033
"2" "walking" "fBodyAccJerk-std()-Y" -0.509147543673841
"2" "walking" "fBodyAccJerk-std()-Z" -0.767087015496689
"2" "walking" "fBodyGyro-std()-X" -0.734588540182119
"2" "walking" "fBodyGyro-std()-Y" -0.72716774102649
"2" "walking" "fBodyGyro-std()-Z" -0.683114494539735
"2" "walking" "fBodyAccMag-std()" -0.646662308457285
"2" "walking" "fBodyBodyAccJerkMag-std()" -0.518800797709272
"2" "walking" "fBodyBodyGyroMag-std()" -0.725310337688742
"2" "walking" "fBodyBodyGyroJerkMag-std()" -0.744194981440397
"2" "walking" "tBodyAcc-mean()-X" 0.273113115788079
"2" "walking" "tBodyAcc-mean()-Y" -0.0191323183174834
"2" "walking" "tBodyAcc-mean()-Z" -0.115649958175497
"2" "walking" "tGravityAcc-mean()-X" 0.660782866688742
"2" "walking" "tGravityAcc-mean()-Y" -0.147219886910411
"2" "walking" "tGravityAcc-mean()-Z" 0.134865335090728
"2" "walking" "tBodyAccJerk-mean()-X" 0.0785353156747351
"2" "walking" "tBodyAccJerk-mean()-Y" 0.00708771249764901
"2" "walking" "tBodyAccJerk-mean()-Z" 0.000755760748377483
"2" "walking" "tBodyGyro-mean()-X" -0.0517030657821192
"2" "walking" "tBodyGyro-mean()-Y" -0.0568420186817881
"2" "walking" "tBodyGyro-mean()-Z" 0.0872599422291391
"2" "walking" "tBodyGyroJerk-mean()-X" -0.0875587491668874
"2" "walking" "tBodyGyroJerk-mean()-Y" -0.0433986835453642
"2" "walking" "tBodyGyroJerk-mean()-Z" -0.0557541828188742
"2" "walking" "tBodyAccMag-mean()" -0.535281800541722
"2" "walking" "tGravityAccMag-mean()" -0.535281800541722
"2" "walking" "tBodyAccJerkMag-mean()" -0.58777744543543
"2" "walking" "tBodyGyroMag-mean()" -0.614771054893146
"2" "walking" "tBodyGyroJerkMag-mean()" -0.746559539039735
"2" "walking" "fBodyAcc-mean()-X" -0.57377091142947
"2" "walking" "fBodyAcc-mean()-Y" -0.432566581302351
"2" "walking" "fBodyAcc-mean()-Z" -0.630081222124834
"2" "walking" "fBodyAcc-meanFreq()-X" -0.106763418901788
"2" "walking" "fBodyAcc-meanFreq()-Y" 0.105734176023146
"2" "walking" "fBodyAcc-meanFreq()-Z" 0.087210586428
"2" "walking" "fBodyAccJerk-mean()-X" -0.561682049622185
"2" "walking" "fBodyAccJerk-mean()-Y" -0.50890379901457
"2" "walking" "fBodyAccJerk-mean()-Z" -0.715745330403973
"2" "walking" "fBodyAccJerk-meanFreq()-X" 0.0868000536209801
"2" "walking" "fBodyAccJerk-meanFreq()-Y" -0.139776595362185
"2" "walking" "fBodyAccJerk-meanFreq()-Z" -0.0942651868218543
"2" "walking" "fBodyGyro-mean()-X" -0.638717694593046
"2" "walking" "fBodyGyro-mean()-Y" -0.722068978635762
"2" "walking" "fBodyGyro-mean()-Z" -0.601594889654305
"2" "walking" "fBodyGyro-meanFreq()-X" -0.00576500648245033
"2" "walking" "fBodyGyro-meanFreq()-Y" -0.0702155008665563
"2" "walking" "fBodyGyro-meanFreq()-Z" 0.0513627291214901
"2" "walking" "fBodyAccMag-mean()" -0.514569861316887
"2" "walking" "fBodyAccMag-meanFreq()" 0.192199738218212
"2" "walking" "fBodyBodyAccJerkMag-mean()" -0.509746432970861
"2" "walking" "fBodyBodyAccJerkMag-meanFreq()" 0.193066821118212
"2" "walking" "fBodyBodyGyroMag-mean()" -0.699742945221854
"2" "walking" "fBodyBodyGyroMag-meanFreq()" 0.0471324812379801
"2" "walking" "fBodyBodyGyroJerkMag-mean()" -0.751615078360927
"2" "walking" "fBodyBodyGyroJerkMag-meanFreq()" 0.124612068599768
"3" "walking" "tBodyAcc-std()-X" -0.623413602046921
"3" "walking" "tBodyAcc-std()-Y" -0.480015920697654
"3" "walking" "tBodyAcc-std()-Z" -0.653625579293255
"3" "walking" "tGravityAcc-std()-X" -0.966457565630499
"3" "walking" "tGravityAcc-std()-Y" -0.9445645371261
"3" "walking" "tGravityAcc-std()-Z" -0.926966278211144
